Unnamed: 0,url,title,sentence,political_affiliation,clickbait,sensationalism,title_vs_body,sentiment,toxicity
0,https://www.cnn.com/2025/10/21/politics/paul-ingrassia-withdraw-hearing,Trump’s nominee for whistleblower office is withdrawn after reports of racist texts,"Paul Ingrassia is no longer the nominee to lead the Office of Special Counsel, two White House officials told CNN on Tuesday, after his chances of getting through the Senate confirmation imploded following reports of racist text messages that he allegedly sent to a group chat",0,0,0,1,1,1
1,https://www.cnn.com/2025/10/21/politics/paul-ingrassia-withdraw-hearing,Trump’s nominee for whistleblower office is withdrawn after reports of racist texts,Ingrassia posted earlier Tuesday evening that he was withdrawing himself from his confirmation hearing “because unfortunately I do not have enough Republican votes at this time,1,0,0,0,1,0
2,https://www.cnn.com/2025/10/21/politics/paul-ingrassia-withdraw-hearing,Trump’s nominee for whistleblower office is withdrawn after reports of racist texts,"” He added that he appreciated the “overwhelming support” he received and that he “will continue to serve President Trump and this administration to Make America Great Again!”

His post came hours after Senate Majority Leader John Thune hinted that the White House would pull Ingrassia’s nomination following the reports of racist text messages",1,0,0,0,2,1
3,https://www.cnn.com/2025/10/21/politics/paul-ingrassia-withdraw-hearing,Trump’s nominee for whistleblower office is withdrawn after reports of racist texts,"“I think they’ll have something official to say about that, but you know what we’ve said, and you’ll probably be hearing from them soon,” he told reporters at the White House",0,0,0,0,1,0
4,https://www.cnn.com/2025/10/21/politics/paul-ingrassia-withdraw-hearing,Trump’s nominee for whistleblower office is withdrawn after reports of racist texts,"Earlier Tuesday, a White House official told CNN his nomination was “under review",0,0,0,0,1,0
5,https://www.cnn.com/2025/10/21/politics/paul-ingrassia-withdraw-hearing,Trump’s nominee for whistleblower office is withdrawn after reports of racist texts,"”

Thune said Monday night that he hoped the White House would pull the nomination after Politico’s reporting on the messages",0,0,0,0,1,0
6,https://www.cnn.com/2025/10/21/politics/paul-ingrassia-withdraw-hearing,Trump’s nominee for whistleblower office is withdrawn after reports of racist texts,"“He’s not going to pass,” Thune added of Ingrassia, whom Trump nominated in May to lead the independent agency tasked with protecting federal whistleblowers and enforcing civil service laws",1,0,0,0,1,0
7,https://www.cnn.com/2025/10/21/politics/paul-ingrassia-withdraw-hearing,Trump’s nominee for whistleblower office is withdrawn after reports of racist texts,"Ingrassia was set to appear before the Senate Homeland Security Committee on Thursday for his confirmation hearing, but one Republican senator on the panel had already announced he’d vote against advancing the nomination",1,0,0,0,1,0
8,https://www.cnn.com/2025/10/21/politics/paul-ingrassia-withdraw-hearing,Trump’s nominee for whistleblower office is withdrawn after reports of racist texts,"“No, I do not support him,” Sen",0,0,0,0,1,0
9,https://www.cnn.com/2025/10/21/politics/paul-ingrassia-withdraw-hearing,Trump’s nominee for whistleblower office is withdrawn after reports of racist texts,Rick Scott of Florida said Monday night,0,0,0,0,1,0
10,https://www.cnn.com/2025/10/21/politics/paul-ingrassia-withdraw-hearing,Trump’s nominee for whistleblower office is withdrawn after reports of racist texts,"Scott’s opposition would have effectively sunk the nomination in committee, assuming every Democrat joined him",0,0,0,0,1,0
11,https://www.cnn.com/2025/10/21/politics/paul-ingrassia-withdraw-hearing,Trump’s nominee for whistleblower office is withdrawn after reports of racist texts,"On Tuesday, after Politico’s report, CNN’s KFile reported that Ingrassia lost the support of the main Jewish group backing his nomination

Ingrassia, whose nomination had already drawn scrutiny, allegedly texted a group chat of other Republicans saying he has “a Nazi streak” and that the Rev",1,0,0,0,1,0
12,https://www.cnn.com/2025/10/21/politics/paul-ingrassia-withdraw-hearing,Trump’s nominee for whistleblower office is withdrawn after reports of racist texts,Martin Luther King Jr,0,0,0,0,1,0
13,https://www.cnn.com/2025/10/21/politics/paul-ingrassia-withdraw-hearing,Trump’s nominee for whistleblower office is withdrawn after reports of racist texts,"holiday should be “tossed into the seventh circle of hell,” according to Politico, which viewed the group chat",0,0,0,0,1,1
14,https://www.cnn.com/2025/10/21/politics/paul-ingrassia-withdraw-hearing,Trump’s nominee for whistleblower office is withdrawn after reports of racist texts,"Ingrassia’s lawyer, Edward Andrew Paltzik, initially questioned the authenticity of the messages but added that if authentic, they were meant satirically",0,0,0,0,1,0
15,https://www.cnn.com/2025/10/21/politics/paul-ingrassia-withdraw-hearing,Trump’s nominee for whistleblower office is withdrawn after reports of racist texts,“Looks like these texts could be manipulated or are being provided with material context omitted,0,0,0,0,1,0
